UserID,Age,Income,EmploymentStatus,Occupation,EducationLevel,FamilySize,Location,RiskTolerance,SavingsAmount,InvestmentTypes,InvestmentAmount,DebtAmount,CreditScore,Expenses,ExpenseCategories,FinancialGoals,BudgetPlan,TransactionID,TransactionDate,TransactionAmount,TransactionType,MerchantCategory,PaymentMethod,PortfolioID,AssetClass,AssetValue,ReturnRate,Liquidity
860596,58,74901.42459033697,Student,Telecommunications researcher,Bachelor,1,Latvia,High,13891.80538083319,Mutual Funds,15574.11,7066.53,549,17139.03,Healthcare,End character interest court follow this maintain.,Difficult draw say source trial have newspaper know.,4cfc947b-9097-436b-adc4-70f0112bf747,2021-12-14,6501.29,Debit,Education,Check,879027ef-07a7-4e18-8655-40cdeb84d579,ETFs,30373.46,0.101,0.24
940950,25,55852.07096486446,Student,"Librarian, academic",High School,6,Azerbaijan,Medium,7244.071418357333,Bonds,46996.75,30824.42,321,69879.02,Food,Voice situation chance mouth compare whether sometimes guy.,Try lawyer member town audience boy.,2d1d61f3-74bc-4c75-b23c-b7693fbdbfd4,2021-09-08,9011.3,Transfer,Food,Cash,0a8835b6-a9f9-4d56-a120-c6382d71d0b4,Bonds,48650.86,0.026,0.84
327768,19,79430.65614302078,Retired,Geophysicist/field seismologist,Master,3,Australia,Medium,9983.12771294524,Cryptocurrency,64021.64,23675.73,794,147437.53,Education,Than major street discover.,Matter bag seek before leader perhaps.,61278073-8107-4432-b1a1-d2b7b72747b7,2022-10-27,3424.56,Transfer,Education,Credit Card,c9e67695-3755-4bfc-829f-e9465cb2ee87,Real Estate,48458.36,0.079,0.37
984680,65,52975.39875829992,Self-employed,"Doctor, hospital",PhD,4,Nauru,High,9149.076887375359,Mutual Funds,32018.66,36151.62,749,93338.05,Healthcare,Identify public join everyone.,Air wide sell game two live.,fc42dd41-0f45-4d2a-8c1a-a84d45d468ee,2023-10-15,2611.36,Credit,Housing,Cash,fad0cd2d-00db-411a-8a2c-7f0997940e5d,Real Estate,20179.34,0.149,0.7
222754,35,52975.89129152458,Retired,"Programmer, applications",College,2,Japan,Medium,7733.859753363624,Cryptocurrency,3132.33,28331.96,724,76691.54,Misc,Offer read teach window skill must before true.,Expect particular race result market.,6f90d09f-2b20-4f2a-b113-aaf4a4c9eca4,2020-03-08,8640.69,Transfer,Housing,Check,9b182965-5a37-4f3e-8bbf-7cefdf2aeee1,Bonds,37898.88,0.081,0.31
667700,33,83023.04187458726,Student,Air broker,PhD,4,Bangladesh,High,13481.937237283577,ETFs,60107.74,11621.49,496,64163.86,Housing,Condition base sea medical pay but like.,Cause others professional continue fill attorney scene card.,9e46af8b-e369-4b7f-8f66-dbebda004ca2,2023-10-05,8277.85,Transfer,Housing,Credit Card,f5fda168-27f0-4280-9a39-6f65143855e0,Real Estate,16903.8,-0.171,0.41
197234,32,45915.768421951434,Student,Science writer,PhD,6,Italy,Low,10442.034431459237,Cryptocurrency,38028.48,38370.42,722,26722.27,Misc,Owner hotel mind program.,White laugh such good Mrs.,976d79ef-a0c8-41aa-96e4-d2f69539ec01,2021-06-04,6844.8,Transfer,Transportation,Credit Card,c9c76a93-a04d-41e7-915f-8ef3332444b6,Real Estate,21990.69,-0.143,0.7
461169,26,76276.80130757893,Self-employed,IT consultant,None,6,Saint Vincent and the Grenadines,Low,9031.70270360141,Stocks,93645.97,12601.19,490,35354.66,Misc,Sure college box wide probably.,By still guy everything color down heart check.,e0e4ed9a-b9b0-41a6-a696-57efd530d66a,2020-04-01,6420.77,Debit,Food,Cash,795c9532-99b9-4de6-8588-e4aa9d8a7865,Stocks,22747.32,-0.025,0.94
505816,65,46097.46921562613,Student,"Conservation officer, historic buildings",Bachelor,5,Cuba,Low,6415.888396985975,Cryptocurrency,36149.28,15572.75,831,60586.89,Transportation,Cost where ten family.,West pay your writer then lawyer season.,a7789af0-a6cc-4704-8c97-a7ce7191350d,2024-02-20,2219.15,Transfer,Education,Cash,687fa229-9256-4b77-aaf6-d18908e65e11,Cryptocurrency,14197.64,0.04,0.12
120482,24,46028.10739289229,Retired,Physiotherapist,Bachelor,1,South Georgia and the South Sandwich Islands,High,9586.596570786503,Bonds,43010.97,16893.42,709,122181.97,Misc,Expect eat will various eat claim discuss.,Skill explain wear likely cup.,8f895bc5-4ae1-4219-b042-d96e01f5184b,2022-07-12,7103.61,Transfer,Food,Credit Card,08ce44d1-21b7-40cb-bb3e-9a1a8a5dd375,Real Estate,38977.17,0.051,0.74
998048,61,67258.86814698103,Self-employed,Corporate investment banker,Bachelor,5,Armenia,Medium,9391.262458083582,Real Estate,47340.96,7530.6,696,17630.3,Housing,Goal only perform road.,Case still foot generation seven.,c1aae42f-c140-46da-baa4-3cce2b897994,2022-07-14,2855.27,Credit,Healthcare,Check,ad03763b-b0f2-4a4b-a044-2aa1fd860d77,Real Estate,19954.21,0.141,0.43
457464,65,43131.37412277082,Retired,Legal secretary,PhD,6,India,High,13154.058422773887,Cryptocurrency,5407.75,16072.15,567,128604.46,Transportation,Will green design.,Establish will way something.,b0a2d5a2-f5cc-4d95-9c8c-3c09f857435d,2021-02-10,2497.72,Debit,Transportation,Cash,84bb98e0-6d2b-48f6-a5b4-838033822f77,Bonds,44296.11,-0.048,0.07
986178,52,69427.41997785821,Self-employed,Physiological scientist,College,3,Micronesia,Medium,12910.48851734308,Cryptocurrency,86802.06,28265.62,672,48829.84,Entertainment,Upon key make teach.,Indicate value face.,3255eb00-cb03-4ede-ad3d-7b68687bde23,2020-09-06,1247.82,Transfer,Food,Check,4833f2bf-e466-4c69-bc05-89fa31df2fa9,ETFs,27537.26,-0.117,0.34
403573,23,53226.71098540393,Student,Art therapist,Master,1,Tunisia,Medium,8867.57950575084,ETFs,95264.5,20326.71,569,86788.7,Education,Usually lose research travel fly need.,Share exactly nothing member edge agreement management hotel.,5d87bfa9-8f55-46cd-b900-78ca19d2a943,2020-11-08,6161.76,Debit,Healthcare,Cash,99721305-f1b1-47fa-8e9b-d4f11dc052f2,Stocks,48582.2,0.188,0.99
270076,55,62025.84614063772,Unemployed,"Loss adjuster, chartered",None,6,Uzbekistan,Low,8138.966119644735,Stocks,68367.14,278.59,741,47578.0,Housing,Picture sure keep meeting.,Number employee war stand.,196c4a5c-6fa0-48a7-9c96-0685f5045546,2024-03-14,9079.9,Transfer,Entertainment,Check,7a48a7c0-baf8-46d3-90ec-35418dae3b09,Real Estate,42959.49,0.102,0.01
607142,45,43668.51826424452,Self-employed,Public affairs consultant,None,5,Monaco,Low,7555.75289106863,Cryptocurrency,26984.81,34519.87,679,119741.89,Food,Hit reduce box catch admit industry.,Billion oil minute despite.,9a4764d4-1a3d-4475-a1df-429c13b2c6e3,2024-01-15,4055.99,Credit,Food,Check,89e53418-633f-48c3-aee0-7a96faace9d1,Bonds,43045.92,0.014,0.8
153964,20,63327.67769129598,Self-employed,Multimedia specialist,PhD,4,United States Minor Outlying Islands,High,10704.43123455602,Mutual Funds,63568.73,37751.9,673,139604.69,Education,Discussion forget leave help according see.,Though American light property production.,4fcd1bfc-9f6d-4ca8-8f37-1a608ff4538b,2020-03-17,4964.37,Transfer,Misc,Credit Card,879dce18-5753-40c0-aa2f-cbb9fff2bf92,ETFs,22793.93,-0.097,0.29
577116,19,71270.94055037016,Unemployed,Location manager,College,1,Costa Rica,High,11615.838570923908,Bonds,8359.13,39734.79,540,106141.4,Healthcare,Leg central other offer buy.,Teacher prove eat standard newspaper education.,a3b34c0a-3b88-4062-b6c3-cbfa65b434d0,2020-06-04,9142.15,Debit,Housing,Credit Card,df671426-de9b-4179-b3e5-d04216ac2035,Cryptocurrency,10865.2,-0.004,0.31
723222,23,41980.83930243585,Student,"Education officer, museum",High School,1,Myanmar,Low,9261.987068506656,Real Estate,6925.9,27279.44,627,38684.98,Healthcare,Boy least energy attention star fast ten.,Let discuss along.,c95a4e17-638a-4503-8c51-ff6444521940,2023-12-21,6398.75,Transfer,Housing,Cash,7a5a75dd-e8ad-4592-9b59-1c3021f394c9,Mutual Funds,40395.26,0.021,0.35
917313,31,51249.1875062017,Retired,Child psychotherapist,Master,3,Malaysia,High,7669.817490658788,Real Estate,40506.85,15650.81,665,134783.62,Entertainment,House find TV light exactly over.,Provide common identify pressure physical.,b57268db-9d6e-4112-96f8-ee66f8e1249e,2023-09-07,3686.29,Transfer,Transportation,Cash,b8511569-bcfd-4b50-846e-a8c9304dff2a,Bonds,3484.07,0.121,0.62
989936,32,41948.80163311809,Employed,Management consultant,Bachelor,3,Suriname,Low,12568.000532848582,Stocks,29833.68,32600.43,378,89319.43,Transportation,Create catch young may model difficult.,Hear skin medical popular affect huge.,b1f7de60-e5f7-4bc7-8c7b-ea2ae06cecfc,2021-07-03,8930.53,Transfer,Education,Electronic,11bc4053-a5b8-4be5-bc5f-29f1d5a978b2,Bonds,27607.16,-0.001,0.62
712028,50,59595.08325786198,Unemployed,Contracting civil engineer,High School,4,Chad,High,7336.495801690443,Cryptocurrency,71220.67,16091.9,437,11379.85,Housing,Concern employee father five recognize.,Plan practice number receive story present character.,5cba046e-d0b0-4998-a755-4b4ee4f97d58,2023-08-27,3083.29,Transfer,Housing,Electronic,7b1c7a3a-508f-4b04-9a21-74fed8f68950,ETFs,29122.57,-0.063,0.06
477360,56,84676.34736309567,Employed,Systems developer,PhD,4,Dominica,Medium,9862.425474746819,Mutual Funds,87128.91,35443.41,629,57264.83,Healthcare,Sing herself my build.,Agency rate themselves itself hand none peace.,fccf4d84-08db-4d25-8d3b-de2b0f8825f8,2023-08-15,649.76,Credit,Transportation,Electronic,c74c0715-003c-4ceb-97ed-1843a79cc732,Stocks,7894.73,-0.171,0.19
957345,19,66265.90785014266,Student,Haematologist,PhD,1,Barbados,High,7714.51871706864,ETFs,52477.79,25721.56,552,97410.4,Misc,Plant budget chair technology quality minute address.,Box white executive care.,15ea4516-5e83-4214-a3da-b9932d28f15e,2024-01-10,4428.68,Credit,Misc,Check,528d77bf-43c6-4eb7-9c45-54342772370b,ETFs,5100.03,0.194,0.04
707881,53,65905.8370760737,Self-employed,Dentist,PhD,2,Malawi,Low,6988.939698191098,Cryptocurrency,66964.44,42932.65,431,48804.33,Misc,Form guess model.,Economy especially phone maybe wall race culture.,821f62c0-efb3-433d-9069-cf8539206932,2021-12-27,6771.01,Debit,Food,Cash,d6933e75-40ae-436c-bbd3-32b9d82d8268,Cryptocurrency,20638.03,0.158,0.31
853002,30,82153.99739986232,Self-employed,"Engineer, land",PhD,6,Ethiopia,High,12343.871280375119,Cryptocurrency,25944.72,49637.77,398,70172.37,Misc,Information science short safe.,Glass guy natural the family situation plant stand.,0b3351d0-ed60-4fad-9fef-d30d47295dc4,2024-04-08,9980.4,Debit,Transportation,Check,d74fafe8-99a2-4d67-8249-b2d0ee8c7b23,Stocks,1363.04,0.168,0.64
413415,63,65141.048435699115,Student,Physiological scientist,College,6,Armenia,Medium,11508.95949909733,Cryptocurrency,83054.91,4071.72,819,42268.37,Food,Thousand would note give south reveal hear thought.,Continue democratic discover water scene reduce lose.,93d8d153-422d-4745-98c6-c5af5dea392f,2022-07-03,3720.33,Transfer,Food,Cash,86b0abfe-157a-4a95-b2df-ee4842301052,Real Estate,21516.04,-0.144,0.3
